product_id,product_category_name,month_year,qty,total_price,freight_price,unit_price,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_score,customers,weekday,weekend,holiday,month,year,s,volume,comp_1,ps1,fp1,comp_2,ps2,fp2,comp_3,ps3,fp3,lag_price
comp_9,computers_accessories,01-07-2017,1,199.09239580046298,18.94,199.09,32,465,3,2678.4,4.7,112,25,7,0,7,2017,5.8125,3897,196.22,4.6,18.84,254.0,4.1,18.87,159.56,3.7,17.7,197.78
comp_4,computers_accessories,01-08-2017,3,1039.0201176626597,18.89,346.34,34,132,3,2594.02,4.3,15,23,10,0,8,2017,9.381,3471,351.02,3.5,19.21,417.18,4.9,19.46,290.05,3.6,19.43,344.89
comp_2,computers_accessories,01-04-2017,1,476.5859235106101,21.2,476.59,60,130,2,3182.47,3.2,27,6,7,0,4,2017,6.3705,3145,471.16,4.5,19.38,617.71,4.3,24.13,424.42,3.0,22.54,466.19
comp_8,computers_accessories,01-04-2018,2,757.3897322913206,18.3,378.69,33,376,2,1472.66,5.0,195,23,9,0,4,2018,10.6244,3497,383.58,4.1,17.84,487.66,4.8,17.14,330.79,4.4,19.62,376.01
hb_2,health_beauty,01-07-2017,3,97.90885866762142,7.26,32.64,26,437,4,237.72,3.2,100,18,8,0,7,2017,10.7852,3956,30.05,4.0,7.92,45.05,5.0,7.48,28.58,3.9,7.19,31.96
comp_1,computers_accessories,01-01-2017,1,369.00738243081537,22.93,369.01,45,472,3,2314.66,3.9,37,12,5,0,1,2017,5.6384,3389,378.32,4.8,22.25,472.02,4.1,19.66,324.34,4.1,23.48,354.29
comp_7,computers_accessories,01-08-2017,2,760.775305167296,14.16,380.39,31,242,4,1336.43,4.6,73,7,9,0,8,2017,5.5694,4654,364.14,4.9,15.54,487.73,4.8,13.46,331.17,3.1,14.94,382.61
comp_9,computers_accessories,01-02-2017,1,462.5417540378944,20.07,462.54,20,147,2,2696.89,4.3,52,18,9,0,2,2017,8.2806,3985,444.56,4.6,20.4,577.84,5.0,19.06,370.56,3.4,21.55,449.76
bed_3,bed_bath_table,01-07-2017,2,61.21544746898164,19.34,30.61,44,101,4,1455.87,4.0,77,19,6,0,7,2017,8.6939,3866,33.48,4.4,20.09,34.2,4.5,20.32,26.88,3.9,20.89,29.22
comp_3,computers_accessories,01-12-2018,11,5281.810529936858,19.37,480.16,32,251,2,2123.85,4.2,24,23,10,1,12,2018,17.7738,3124,498.9,3.6,21.21,598.08,5.0,20.91,413.91,3.8,18.63,495.23
comp_1,computers_accessories,01-06-2017,4,660.1871029518261,24.19,165.05,57,344,5,3738.92,3.8,145,10,2,0,6,2017,10.08,4967,171.83,4.7,26.54,211.63,4.2,25.1,147.71,3.6,26.46,170.69
comp_2,computers_accessories,01-02-2017,8,2299.818111343905,29.58,287.48,58,134,2,4353.31,4.9,113,8,5,0,2,2017,11.0531,4185,285.03,4.4,27.97,352.83,4.7,30.98,231.6,3.5,27.29,292.41
comp_7,computers_accessories,01-01-2017,2,817.8547133885114,20.85,408.93,57,389,5,3081.23,4.5,90,13,5,0,1,2017,8.9266,4371,409.75,4.4,21.7,525.56,4.2,17.82,349.71,3.0,20.23,412.6
comp_5,computers_accessories,01-06-2017,4,1099.9598752379666,29.75,274.99,45,167,3,2568.98,4.0,127,15,3,0,6,2017,10.4856,3019,286.1,3.9,29.5,339.56,5.0,29.66,234.13,3.5,30.54,267.84
hb_2,health_beauty,01-10-2017,3,41.59917497195843,5.58,13.87,54,209,5,68.97,3.3,77,9,7,0,10,2017,9.4861,4804,12.83,3.8,5.06,17.06,4.2,5.08,11.38,3.3,5.12,13.34
bed_5,bed_bath_table,01-04-2018,2,80.63337184057926,12.99,40.32,30,324,5,852.93,4.8,190,14,10,0,4,2018,5.2752,3016,39.22,3.6,12.41,52.47,4.8,14.28,33.79,3.3,12.24,39.79
comp_2,computers_accessories,01-09-2018,4,1389.2076344484735,21.26,347.3,28,235,1,2938.09,3.9,37,22,4,0,9,2018,5.2568,3557,342.75,4.3,20.17,432.83,4.3,20.22,303.8,3.0,20.51,337.28
hb_6,health_beauty,01-10-2017,1,13.592863954577536,6.01,13.59,33,451,3,131.87,4.2,139,20,6,0,10,2017,10.5242,4854,14.65,4.6,5.93,17.93,4.1,5.49,12.26,3.5,6.19,13.69
bed_5,bed_bath_table,01-02-2018,1,79.32576243964898,9.32,79.33,22,101,3,727.32,3.6,43,25,6,0,2,2018,6.07,3330,81.0,3.8,10.05,94.79,4.1,9.41,57.14,3.6,10.21,76.25
comp_9,computers_accessories,01-08-2018,5,2438.9408665507376,20.38,487.79,20,157,1,2591.42,3.6,186,9,10,0,8,2018,6.1962,3073,505.62,4.1,20.41,625.2,4.2,17.24,402.81,3.9,19.52,491.75
hb_7,health_beauty,01-10-2017,2,48.86840611128905,5.8,24.43,28,121,3,88.59,3.5,103,6,7,0,10,2017,5.9409,3430,24.59,4.5,6.1,29.57,4.6,5.74,20.78,3.6,5.63,25.48
comp_6,computers_accessories,01-04-2017,1,486.010764266605,39.03,486.01,55,308,5,4322.48,4.7,49,12,4,0,4,2017,6.2686,4999,467.75,3.7,41.33,618.73,4.2,33.78,434.41,3.2,41.48,494.04
bed_3,bed_bath_table,01-07-2017,3,143.82457261852537,11.97,47.94,41,500,4,927.68,3.5,181,12,6,0,7,2017,8.0739,3326,51.56,4.8,11.69,60.26,4.5,13.92,41.39,3.9,11.05,50.05
comp_1,computers_accessories,01-02-2018,3,701.8867375885034,26.92,233.96,50,213,2,3510.83,4.5,127,16,6,0,2,2018,8.7342,4680,225.52,3.6,27.29,299.33,4.8,30.97,201.68,3.5,28.65,224.85
bed_4,bed_bath_table,01-04-2017,5,181.8721655829956,13.85,36.37,45,268,3,1315.74,3.4,27,13,7,0,4,2017,6.6048,4313,35.63,4.9,14.08,51.61,4.4,13.64,26.55,4.4,12.89,36.69
comp_1,computers_accessories,01-07-2018,4,1378.3267766954364,29.29,344.58,27,233,2,3023.55,3.8,158,13,2,0,7,2018,8.9559,3222,327.98,4.6,31.83,443.55,4.9,28.71,307.78,3.2,32.13,356.26
comp_6,computers_accessories,01-07-2018,1,468.33675304694896,18.51,468.34,47,410,5,1498.65,3.0,39,17,5,0,7,2018,7.793,3521,485.66,4.0,18.13,586.3,4.5,21.62,402.36,3.5,17.94,479.46
bed_1,bed_bath_table,01-12-2018,14,577.2233760579874,10.74,41.23,53,375,2,842.66,4.2,103,18,3,1,12,2018,19.9837,4943,40.84,4.4,9.69,47.68,4.7,9.36,30.32,4.4,9.99,40.88
comp_2,computers_accessories,01-06-2018,2,997.4994014767578,12.99,498.75,39,359,3,1341.4,3.1,180,18,7,0,6,2018,10.2497,3824,498.86,4.2,13.15,628.19,4.1,14.42,402.35,3.7,13.05,495.8
comp_4,computers_accessories,01-05-2017,3,971.5683975698614,18.35,323.86,46,440,4,2603.05,3.3,183,10,6,0,5,2017,11.6228,3831,312.69,4.6,18.93,394.52,4.0,16.31,286.99,3.3,18.98,308.3
comp_5,computers_accessories,01-01-2018,4,1679.865736597103,16.81,419.97,33,320,5,1416.43,3.4,165,25,7,0,1,2018,5.6961,3952,406.47,3.9,18.15,531.37,4.0,14.03,345.98,3.3,15.22,406.59
hb_9,health_beauty,01-08-2017,3,67.92820955332482,6.38,22.64,50,476,2,195.76,4.1,178,7,6,0,8,2017,6.816,4055,24.42,4.2,6.12,30.87,4.9,7.05,19.28,3.2,6.85,22.61
comp_2,computers_accessories,01-11-2018,17,7139.015740441744,31.08,419.94,35,444,3,4578.21,4.7,67,11,4,1,11,2018,20.4163,3050,416.8,5.0,31.24,504.87,4.2,28.25,347.24,3.0,33.66,403.89
bed_10,bed_bath_table,01-04-2018,1,43.7027610343603,10.64,43.7,24,333,4,991.82,4.8,171,23,5,0,4,2018,6.4449,4471,44.18,4.8,10.85,59.46,4.6,11.34,37.84,3.3,11.52,43.35
comp_7,computers_accessories,01-07-2018,3,922.7012463394051,22.17,307.57,35,175,1,2532.55,4.4,37,18,5,0,7,2018,5.5796,3360,293.63,3.9,22.46,374.19,4.5,23.62,268.75,4.4,23.2,298.8
comp_1,computers_accessories,01-09-2018,2,409.81123543986007,11.05,204.91,55,227,1,1124.73,4.5,126,9,9,0,9,2018,9.1779,4367,206.85,4.2,11.46,246.94,4.4,9.93,174.1,4.2,11.71,208.9
comp_8,computers_accessories,01-09-2018,3,1008.2768002429045,24.56,336.09,59,468,5,2088.58,4.5,119,22,9,0,9,2018,5.9577,4837,331.42,4.7,25.34,406.39,4.7,27.99,299.7,3.4,24.51,326.72
bed_8,bed_bath_table,01-12-2018,15,1158.0445047649598,18.7,77.2,36,484,2,1485.2,3.6,173,13,10,1,12,2018,16.8058,3992,70.09,4.7,16.97,106.71,4.6,16.68,68.33,3.2,17.12,78.72
comp_8,computers_accessories,01-04-2018,4,1559.6268344460184,17.09,389.91,24,465,3,2359.5,4.7,70,13,7,0,4,2018,10.5351,3654,372.96,3.5,18.37,480.18,4.5,20.09,332.96,4.2,18.79,384.09
comp_3,computers_accessories,01-02-2017,4,1043.0894617747874,27.59,260.77,34,296,2,4068.75,3.7,190,11,3,0,2,2017,11.8886,3849,260.25,3.9,26.47,329.29,4.2,22.54,231.4,3.0,30.28,258.89
hb_7,health_beauty,01-06-2018,5,151.94709240396048,6.45,30.39,23,205,4,146.08,3.5,109,23,2,0,6,2018,5.6259,4754,28.68,4.9,6.65,42.24,4.6,6.49,27.9,3.3,6.04,29.54
comp_1,computers_accessories,01-07-2018,4,1647.3351577068054,19.8,411.83,42,252,4,1745.75,3.3,117,22,10,0,7,2018,11.1865,4638,405.66,4.7,18.71,496.58,4.2,20.1,369.38,3.9,20.12,395.01
comp_4,computers_accessories,01-04-2018,3,618.7200511064473,36.76,206.24,37,323,4,4509.84,3.7,17,17,7,0,4,2018,11.0349,4369,198.6,3.9,38.4,265.82,4.5,30.6,184.7,3.3,38.11,197.5
comp_8,computers_accessories,01-07-2017,5,1490.2930540279488,45.76,298.06,28,418,5,4404.83,4.7,16,17,2,0,7,2017,7.4347,3171,297.48,4.6,48.84,375.33,4.7,49.05,263.03,3.9,48.07,287.88
comp_8,computers_accessories,01-07-2017,4,1794.9496443923713,27.76,448.74,31,125,3,4523.48,3.6,107,15,5,0,7,2017,7.3458,3931,427.61,4.4,30.43,575.54,4.6,25.09,364.77,4.0,27.98,461.3
hb_5,health_beauty,01-06-2018,4,131.32334830024337,5.5,32.83,46,229,1,76.75,4.4,130,5,10,0,6,2018,9.4284,3106,33.1,3.6,5.59,45.72,4.3,5.77,27.95,3.1,5.91,34.39
hb_1,health_beauty,01-04-2017,4,129.95821980915096,6.86,32.49,21,226,2,292.22,5.0,15,24,4,0,4,2017,5.1549,3488,30.09,4.1,6.79,43.91,4.2,7.67,26.11,4.0,6.48,31.13
bed_10,bed_bath_table,01-08-2017,4,250.90224285622705,16.08,62.73,33,338,3,1116.6,3.8,104,10,3,0,8,2017,8.0263,4592,59.88,4.8,15.21,92.86,4.2,13.06,45.8,4.0,15.65,65.01
bed_10,bed_bath_table,01-05-2017,4,313.63868558294433,13.34,78.41,21,259,5,867.85,4.2,183,17,8,0,5,2017,10.3965,4928,73.48,4.7,13.29,113.49,4.1,11.34,67.07,4.0,13.15,76.06
comp_10,computers_accessories,01-04-2017,1,125.68357483005363,20.91,125.68,60,224,1,2966.38,3.8,188,14,3,0,4,2017,7.1725,4630,126.71,4.2,21.32,154.2,4.3,22.54,110.57,4.3,22.08,119.9
comp_9,computers_accessories,01-01-2018,3,425.9162141018099,24.38,141.97,47,438,3,2922.03,4.0,27,21,7,0,1,2018,8.4922,3025,138.31,3.6,23.65,184.37,4.0,20.27,115.6,3.6,22.59,142.93
hb_7,health_beauty,01-08-2017,1,34.017600973272486,7.15,34.02,43,425,4,222.37,3.1,191,9,8,0,8,2017,9.455,3360,31.98,4.3,7.45,41.96,4.9,7.77,27.75,4.2,6.92,35.09
comp_10,computers_accessories,01-09-2018,2,915.8533248484221,12.0,457.93,54,496,4,1320.46,3.5,129,18,6,0,9,2018,9.505,3660,460.11,3.7,12.89,586.94,4.2,14.29,387.05,3.5,11.24,471.19
bed_8,bed_bath_table,01-02-2018,4,219.6391432906278,10.62,54.91,35,484,4,1090.45,3.5,155,24,8,0,2,2018,11.9743,3688,55.52,4.2,11.4,76.2,4.7,11.65,40.95,3.6,10.29,54.2
bed_3,bed_bath_table,01-08-2018,4,128.0218382824965,16.82,32.01,51,208,3,1485.18,4.8,76,15,6,0,8,2018,10.0768,4802,34.35,3.8,17.24,42.61,4.6,18.39,25.21,3.2,17.55,33.31
comp_9,computers_accessories,01-12-2018,12,2340.2079596346125,17.42,195.02,20,364,2,1718.73,4.0,31,12,8,1,12,2018,19.9228,4000,204.21,4.0,17.74,237.55,4.2,16.66,172.68,4.5,16.58,198.07
comp_8,computers_accessories,01-04-2018,1,409.38925027464023,22.48,409.39,48,108,1,2300.76,3.7,85,12,8,0,4,2018,6.6524,4416,394.28,4.7,22.17,530.97,4.2,23.54,346.09,4.1,20.99,395.78
bed_8,bed_bath_table,01-05-2018,3,200.46030225984606,7.18,66.82,55,371,3,344.01,3.1,118,22,7,0,5,2018,10.6397,3720,69.01,4.3,7.81,86.19,4.0,6.1,58.06,3.7,7.81,65.59
comp_5,computers_accessories,01-08-2018,6,699.7748617209411,22.26,116.63,36,218,1,3028.94,3.1,194,11,7,0,8,2018,5.0346,3244,112.53,4.0,23.17,151.46,4.2,23.8,104.56,4.5,20.45,118.64
comp_4,computers_accessories,01-09-2017,5,2236.284508755011,31.79,447.26,33,478,4,2775.0,4.4,80,23,10,0,9,2017,11.6123,4222,432.82,4.5,29.98,567.69,4.7,30.44,395.29,4.0,29.29,454.32
hb_5,health_beauty,01-02-2017,4,45.78544466326672,7.5,11.45,34,284,2,299.85,4.6,87,5,10,0,2,2017,10.4767,3259,12.54,4.6,7.95,14.67,4.4,8.45,10.65,3.2,7.57,10.88
hb_9,health_beauty,01-01-2017,2,41.98769209228387,5.7,20.99,38,457,2,131.15,4.2,173,20,3,0,1,2017,8.1409,4787,20.56,4.5,5.84,28.11,4.5,5.43,18.02,4.3,5.73,20.95
bed_8,bed_bath_table,01-10-2018,5,235.31195690653908,6.98,47.06,50,325,3,330.77,3.0,57,6,6,0,10,2018,8.7352,4927,45.93,4.5,7.53,59.28,4.2,8.17,38.4,3.1,7.58,46.36
hb_7,health_beauty,01-02-2017,4,98.30461110235908,5.53,24.58,51,137,5,75.36,3.2,171,6,4,0,2,2017,10.6212,3305,23.38,3.8,5.73,30.89,4.2,5.59,20.79,4.1,5.1,24.74
comp_4,computers_accessories,01-05-2017,6,2911.0245005701913,21.32,485.17,27,385,4,2026.25,3.8,165,24,5,0,5,2017,5.3039,4588,484.37,4.8,23.03,621.31,4.4,19.08,414.83,4.2,20.36,500.82
comp_8,computers_accessories,01-07-2018,3,1101.0598791497646,19.76,367.02,39,401,4,2694.95,3.0,88,23,2,0,7,2018,9.1063,4248,352.18,4.5,20.19,463.32,4.5,17.65,310.2,3.6,20.14,366.9
comp_4,computers_accessories,01-02-2017,3,463.72770306807973,47.69,154.58,36,438,1,4951.14,4.2,50,12,4,0,2,2017,10.0232,4130,157.59,3.9,43.68,191.74,4.1,55.21,130.28,3.3,46.0,150.35
bed_7,bed_bath_table,01-03-2017,5,167.35596068652336,11.06,33.47,48,452,5,726.0,5.0,130,14,2,0,3,2017,6.636,3474,33.6,4.5,11.19,37.72,4.7,10.91,28.79,3.1,11.2,35.0
hb_8,health_beauty,01-12-2018,18,552.6026410431596,5.78,30.7,24,451,2,93.83,4.6,77,25,5,1,12,2018,19.5037,3870,28.86,4.9,5.47,40.13,4.4,4.98,25.01,4.5,6.27,30.82
bed_3,bed_bath_table,01-09-2017,3,168.14369659080634,13.54,56.05,37,172,1,1310.44,3.5,25,10,6,0,9,2017,5.894,4218,57.43,4.0,12.42,63.65,4.9,13.83,47.7,3.5,13.26,55.75
comp_8,computers_accessories,01-10-2018,2,612.5435421571982,35.92,306.27,27,339,3,3402.38,3.8,189,17,6,0,10,2018,10.96,4024,319.12,4.8,38.56,382.75,4.8,40.09,275.4,3.5,32.91,303.3
comp_2,computers_accessories,01-08-2018,4,1511.9217422439388,19.95,377.98,58,120,4,1694.1,3.3,198,15,6,0,8,2018,10.7574,3052,372.16,4.3,19.54,490.45,4.1,18.89,326.61,3.1,18.06,364.19
bed_5,bed_bath_table,01-04-2017,1,57.47647679475085,16.94,57.48,56,120,2,1455.74,3.4,130,21,9,0,4,2017,8.543,4876,62.83,4.4,17.45,73.17,4.2,13.97,43.82,4.2,16.81,54.94
hb_8,health_beauty,01-03-2018,1,11.733416829890999,6.64,11.73,25,340,3,298.72,4.4,114,15,7,0,3,2018,5.9957,4372,12.19,3.6,6.66,16.39,5.0,7.48,9.81,3.9,6.39,11.88
bed_7,bed_bath_table,01-03-2018,5,256.5208459725929,11.6,51.3,51,247,4,932.45,4.0,150,6,9,0,3,2018,6.3624,3180,47.51,3.5,11.05,74.63,4.8,9.92,40.53,3.8,10.94,48.8
hb_2,health_beauty,01-05-2018,3,117.82863794190484,5.82,39.28,45,363,1,110.3,3.3,178,22,9,0,5,2018,5.7682,3846,41.64,4.0,6.1,54.67,4.5,5.53,34.3,3.6,5.77,40.4
bed_10,bed_bath_table,01-04-2018,2,155.53346865039282,18.03,77.77,51,420,4,1370.5,3.9,23,11,6,0,4,2018,8.0632,4124,82.23,4.5,18.61,95.35,4.9,19.02,65.14,3.9,16.47,77.91
bed_8,bed_bath_table,01-05-2018,2,133.74337687214856,7.43,66.87,27,114,5,480.2,4.9,71,10,6,0,5,2018,5.5935,4128,67.04,4.6,7.21,91.75,4.3,6.98,47.37,4.2,7.67,64.77
bed_2,bed_bath_table,01-09-2018,2,69.83956497133973,9.5,34.92,34,158,4,508.93,4.2,40,25,4,0,9,2018,5.1466,4020,36.04,4.1,8.94,49.09,4.1,9.94,26.29,4.2,9.78,35.03
comp_7,computers_accessories,01-05-2018,4,1949.582044151014,12.81,487.4,50,341,2,1167.8,4.9,126,22,4,0,5,2018,9.2132,3785,501.95,3.8,12.49,599.15,4.4,12.5,437.68,3.9,13.95,474.76
bed_2,bed_bath_table,01-10-2017,6,239.2411469579812,8.85,39.87,37,495,4,445.8,4.6,97,21,6,0,10,2017,10.7116,4680,42.96,4.5,8.28,54.16,4.5,10.57,30.19,4.4,8.04,38.54
bed_10,bed_bath_table,01-05-2018,4,265.1959819970591,8.58,66.3,57,437,4,458.07,4.4,48,19,10,0,5,2018,10.8849,3991,70.51,4.8,8.82,78.59,4.8,7.42,53.12,3.7,7.74,64.62
hb_8,health_beauty,01-06-2018,3,119.26289562144271,6.57,39.75,40,196,2,231.62,4.6,156,17,5,0,6,2018,6.4282,4753,36.57,4.3,5.92,50.9,4.8,5.35,36.57,4.1,6.18,41.58
hb_8,health_beauty,01-01-2018,5,99.03974245071186,6.0,19.81,44,297,2,141.99,4.4,136,6,4,0,1,2018,11.9743,4028,18.42,3.5,6.15,24.98,4.4,6.71,18.45,3.1,6.11,19.77
comp_8,computers_accessories,01-06-2017,5,629.7071889659367,23.89,125.94,26,369,4,3569.3,3.7,13,9,8,0,6,2017,9.2244,4783,126.95,4.7,24.88,158.2,4.8,24.06,107.81,3.7,22.21,123.78
comp_8,computers_accessories,01-03-2017,5,677.2008593592345,24.29,135.44,36,273,5,2736.08,4.7,187,17,3,0,3,2017,11.9884,4744,131.66,4.1,24.64,170.63,4.6,21.22,118.32,3.5,23.48,129.02
hb_6,health_beauty,01-11-2018,12,419.4109357232784,5.52,34.95,60,467,4,56.05,4.7,148,6,3,1,11,2018,24.4068,3480,33.36,3.8,5.86,45.56,4.5,5.49,29.53,3.2,5.06,35.75
comp_4,computers_accessories,01-11-2018,10,2747.402810460718,29.74,274.74,25,322,1,2985.84,4.9,172,8,9,1,11,2018,21.1023,3340,281.05,3.6,27.1,350.72,4.3,26.9,224.16,3.4,32.15,267.86
comp_1,computers_accessories,01-05-2017,1,403.75930496718547,16.09,403.76,40,128,3,2087.8,4.8,101,16,8,0,5,2017,8.413,3298,401.73,3.7,16.2,515.87,4.4,15.11,325.65,4.3,14.55,410.37
bed_10,bed_bath_table,01-09-2018,4,232.0336366923684,16.4,58.01,31,187,2,1456.07,3.9,30,24,8,0,9,2018,6.8211,4269,63.08,5.0,16.75,65.02,4.3,13.87,45.46,3.2,15.5,56.56
comp_10,computers_accessories,01-04-2018,1,324.48911531300996,38.98,324.49,29,218,4,4402.46,3.2,173,13,9,0,4,2018,10.0597,3522,325.25,4.2,38.86,393.11,4.2,45.93,287.5,4.3,40.29,323.27
comp_5,computers_accessories,01-01-2018,1,360.38938686038165,28.64,360.39,54,180,1,2647.06,3.4,123,16,6,0,1,2018,10.6448,4308,362.03,3.9,26.72,434.71,4.3,31.58,306.78,3.8,26.95,374.01
hb_8,health_beauty,01-12-2018,15,541.7602912707032,7.08,36.12,39,201,4,269.9,4.0,133,8,5,1,12,2018,22.7201,3781,34.23,3.7,7.3,46.6,4.8,6.74,34.23,4.2,7.73,35.05
comp_5,computers_accessories,01-06-2018,3,644.5655497014907,31.23,214.86,21,437,4,3093.32,4.6,80,5,2,0,6,2018,10.5854,4864,221.15,4.0,33.46,270.24,4.9,28.44,185.52,4.5,28.99,208.45
comp_5,computers_accessories,01-12-2018,19,8694.321796059816,22.08,457.6,34,410,3,1736.9,3.8,66,25,5,1,12,2018,21.153,4271,464.66,5.0,22.83,556.08,4.6,19.13,386.23,4.3,21.76,442.14
hb_2,health_beauty,01-11-2017,18,482.2680691647266,5.49,26.79,60,430,1,53.15,4.6,89,19,2,1,11,2017,15.7941,4186,26.94,4.3,5.72,36.01,4.3,5.43,25.01,4.2,5.45,26.41
hb_2,health_beauty,01-12-2017,9,313.6272981580489,5.99,34.85,38,267,4,173.55,3.7,54,11,4,1,12,2017,23.2598,4610,33.7,4.2,6.29,43.03,4.7,6.28,31.6,3.5,6.4,34.75
comp_3,computers_accessories,01-06-2018,1,353.65685531829473,50.62,353.66,36,346,3,4916.42,3.5,96,8,9,0,6,2018,9.8043,4972,340.44,4.8,48.38,448.3,4.6,54.55,294.42,3.8,48.65,343.49
bed_7,bed_bath_table,01-03-2017,5,225.98660031018096,6.89,45.2,55,287,1,339.83,3.9,111,5,6,0,3,2017,10.3625,4098,46.58,4.2,7.39,66.68,4.5,6.56,39.51,4.5,6.35,44.85
bed_5,bed_bath_table,01-08-2018,3,200.98561811503953,8.44,67.0,57,295,3,350.43,4.5,37,12,9,0,8,2018,7.0455,3051,72.6,4.0,9.0,81.2,4.3,9.7,58.4,3.2,8.78,67.27
comp_10,computers_accessories,01-09-2018,3,590.2725939106067,18.19,196.76,34,431,1,1386.14,4.7,172,19,6,0,9,2018,9.1885,4329,187.16,4.5,18.53,245.33,4.9,15.9,163.33,3.1,17.24,202.55
hb_1,health_beauty,01-02-2017,3,82.45261515751406,5.56,27.48,22,255,4,58.67,4.3,39,8,5,0,2,2017,5.4455,4817,30.21,4.7,5.98,37.68,4.6,5.6,24.14,3.6,5.36,27.3
comp_8,computers_accessories,01-03-2018,4,1363.0774896242106,33.35,340.77,43,443,5,4095.52,4.0,117,23,4,0,3,2018,9.4192,4813,354.15,4.5,36.36,424.03,4.6,36.6,293.3,3.8,34.25,326.15
hb_8,health_beauty,01-11-2017,27,563.1010054961624,5.84,20.86,59,308,3,113.6,3.4,18,16,5,1,11,2017,17.7681,3908,20.74,4.4,5.59,25.22,4.2,5.88,17.12,3.0,5.27,20.27
